variable_name,variable_label,variable_type,valid_values,pct_non_null,missing_code,source_domain,notes
snapshot_wti,Daily Snapshot: WTI Crude,float,66.5 – 103.5,1.5%,Not available for this day,hero-stats.json,WTI crude price (USD/bbl) from daily aggregate snapshot.
snapshot_gas,Daily Snapshot: US Gas Price,float,2.98 – 3.98,1.0%,Not available for this day,hero-stats.json,US national average gasoline price (USD/gallon). Reported intermittently.
snapshot_sp500,Daily Snapshot: S&P 500,float,6369 – 6879,1.5%,Not available for this day,hero-stats.json,S&P 500 index close. NULL on weekends and holidays.
snapshot_daily_cost_millions,Daily Snapshot: Est. Daily US Cost,float,800 – 3000,1.8%,Not available for this day,hero-stats.json,Estimated daily US operational cost in millions USD. Based on Pentagon and CSIS anchor points with interpolation.
snapshot_total_cost_billions,Daily Snapshot: Est. Cumulative Cost,float,3 – 35.55,1.8%,Not available for this day,hero-stats.json,Cumulative estimated US cost in billions USD since Feb 28.
snapshot_targets_struck,Daily Snapshot: Targets Struck,float,1.5e+04 – 3.05e+04,0.8%,Not available — reported intermittently,hero-stats.json,Cumulative US/Israeli targets struck. Reported at irregular intervals by CENTCOM/IDF.
snapshot_us_kia,Daily Snapshot: US KIA (cumulative),float,0 – 14,1.9%,Not available for this day,hero-stats.json,"Cumulative US military killed in action. NOTE: this is CUMULATIVE, unlike daily casualty reports which are daily estimates."
snapshot_us_wia,Daily Snapshot: US WIA (cumulative),float,0 – 300,0.8%,Not available — reported intermittently,hero-stats.json,Cumulative US military wounded in action.
snapshot_iranian_killed,Daily Snapshot: Iranian Killed (cumulative),float,1500 – 6800,0.7%,Not available — reported intermittently,hero-stats.json,Cumulative Iranian killed. Figures from Red Crescent/HRANA — independently difficult to verify.
snapshot_lebanese_killed,Daily Snapshot: Lebanese Killed (cumulative),float,720 – 1189,0.8%,Not available — reported intermittently,hero-stats.json,Cumulative Lebanese killed (all factions). Source: Lebanese Health Ministry.
snapshot_displaced,Daily Snapshot: Displaced Persons (cumulative),float,8.5e+05 – 4.4e+06,0.8%,Not available — reported intermittently,hero-stats.json,Cumulative displaced persons across all affected countries.
snapshot_flights_cancelled,Daily Snapshot: Flights Cancelled (cumulative),float,1.95e+04 – 5.2e+04,0.8%,Not available — reported intermittently,hero-stats.json,Cumulative commercial flights cancelled due to conflict.
snapshot_children_killed,Daily Snapshot: Children Killed (cumulative),float,125 – 355,0.7%,Not available — reported intermittently,hero-stats.json,Cumulative children killed across Iran and Lebanon. Figures from HRANA/Red Crescent.
