event_id,day_of_conflict,date,event_domain,event_type,health_category,insult,counted,audit_action,audit_note,data_confidence,country,location_name,source_file,event_description
EVT-0238,26,2026-03-25,STRIKE,military,facility_attack,True,False,merged_duplicate,[habbaniyah-clinic] Same incident: US strike on the Habbaniyah Military Clinic (strike-file + timeline rows),HIGH,,,timeline-events.json,"Iraq grants PMF 'right to respond' — 7 Iraqi soldiers killed in Habbaniyah: Iraq granted Popular Mobilization Forces 'right to respond' to US strikes after Habbaniyah attack killed 15 PMF fighters (Mar 23). 7 Iraqi soldiers killed, 13 wounded in Habbaniyah Military Clinic strike (Anbar Province). Iraq summoned US and Iranian diplomats. Islamic Resistance in Iraq claimed 23 operations in 24 hours."
EVT-2185,26,2026-03-25,STRIKE,airstrike,facility_attack,True,True,merged_canonical,[habbaniyah-clinic] Same incident: US strike on the Habbaniyah Military Clinic (strike-file + timeline rows),HIGH,Iraq,"Habbaniyah, Anbar Province, Iraq",strikes-retaliation.json,"Habbaniyah, Anbar Province, Iraq: US strike — 7 Iraqi soldiers killed, 13 wounded in Habbaniyah Military Clinic strike."
EVT-0273,28,2026-03-27,HUMANITARIAN,humanitarian,system_report,False,False,reclassified,ICRC facility-damage inventory report (25 damaged / 9 out of service),HIGH,,,timeline-events.json,"ICRC: 'civilians bearing the brunt' — Philippines declares state of emergency: ICRC President Mirjana Spoljaric Egger stated 'civilians are bearing the brunt' and called attacks on civilian infrastructure 'unacceptable.' Up to 3.2 million Iranians are internally displaced. 830,000 Lebanese displaced (20% of population). 25 hospitals damaged in Iran, 9 out of service. 42,000+ civilian sites damaged. IFRC launched CHF 40 million emergency appeal for Iran. The Philippines declared a state of emergency over the energy crisis with fuel prices more than doubled and nationwide protests in Manila."
EVT-0287,29,2026-03-28,HUMANITARIAN,humanitarian,system_report,False,False,rule,,HIGH,,,timeline-events.json,"Humanitarian toll approaches 3,000 killed — Iran agrees to facilitate aid through Hormuz: Iranian casualties range from 1,750 (Iran deputy UN rep) to 3,114 (HRANA) with dramatic discrepancies. HRANA documented 3,114 deaths by March 17 (1,354 civilians, 1,138 military, 622 unclassified). 217 children killed per HRANA. WHO reports 13+ hospitals/health facilities attacked, 6 evacuated. OCHA: 6,668+ civilian structures targeted. Minab school (Feb 28) killed 150-170+ (mostly schoolchildren) — UN investigating as potential war crime. In a breakthrough, Iran agreed March 27 to 'facilitate and expedite' humanitarian aid through Strait of Hormuz."
EVT-0294,30,2026-03-29,RETALIATION,retaliation,workforce_harm,True,True,rule,,HIGH,,,timeline-events.json,"IDF strikes ~170 Hezbollah sites — 800+ Hezbollah killed — 3 journalists and 9 paramedics killed: IDF struck approximately 170 Hezbollah sites over the weekend, claiming 800+ Hezbollah operatives killed including hundreds from the elite Radwan Force. 2 Israeli soldiers were seriously wounded and 7 moderately wounded in southern Lebanon clashes. Hezbollah fired 5 rockets at Galilee. Earlier in the week, Hezbollah launched 600 rockets/missiles/drones in a single 24-hour period. 3 journalists were killed in Israeli strikes in Jezzine, including Al Manar TV's Ali Shuaib. 9 paramedics were killed on March 28 alone. Lebanese cumulative: 1,189 killed (124 children, 42 health workers), 3,229 injured, ~1 million displaced."
EVT-0303,31,2026-03-30,RETALIATION,retaliation,wash_disruption,True,True,rule,,HIGH,,,timeline-events.json,"Iran strikes chemical plant, Haifa refinery, Kuwait water plant: Iran struck a chemical plant in Ne'ot Hovav (Israel), an oil refinery in Haifa, and a water/electrical plant in Kuwait. Iranian Navy Commander Shahram Irani directly threatened USS Abraham Lincoln, vowing to launch 'various types of sea-to-sea missiles' once the carrier enters firing range."
EVT-0321,33,2026-04-01,RETALIATION,retaliation,system_report,False,False,rule,,HIGH,,,timeline-events.json,"Israeli airstrike on Beirut's Jnah neighborhood kills 7: An Israeli airstrike without warning on Beirut's Jnah neighborhood killed 7 people and wounded 26, per the Lebanese Health Ministry's final count. In a separate naval strike on Beirut, Israel killed Hajj Yusuf Ismail Hashem, commander of Hezbollah's Southern Front — described by the IDF as the most senior Hezbollah figure eliminated, with '40+ years of experience.' A second 'senior terrorist' killed in separate Beirut strike."
EVT-0322,33,2026-04-01,RETALIATION,retaliation,facility_attack,False,False,excluded,Receiving hospital treating the wounded; health system is not the target,HIGH,,,timeline-events.json,"IRGC cluster bomb missile strikes Bnei Brak — children critically wounded: The first wave of three Iranian ballistic missile salvos carried a cluster bomb warhead that struck Bnei Brak, east of Tel Aviv, spreading submunitions over a residential area. 14-16 people wounded including a 10-12-year-old girl critically injured by glass shrapnel in her bed (Sheba Medical Center: 'teams fighting for her life'), a 13-year-old boy seriously wounded while trying to wake his deaf mother (both unable to reach shelter), and the girl's father in moderate condition. Second and third volleys largely intercepted; a fourth salvo of two missiles toward central Israel also defeated."
EVT-0324,33,2026-04-01,MILITARY,military,workforce_harm,True,True,merged_canonical,[tofigh-daru] Same incident: pharmaceutical factory strike killing 10 nurses (timeline + strike-file rows),HIGH,,,timeline-events.json,"Israel strikes Tofigh Daru pharmaceutical factory — 10 nurses killed: Israel struck the Tofigh Daru pharmaceutical factory in Tehran, claiming the plant supplied fentanyl precursors for an alleged chemical weapons program. Iran acknowledged the strike destroyed the R&D department, calling it 'a blow to the national medical supply chain.' Ten nurses were killed 'at the scene of their service,' per ISNA."
EVT-1765,33,2026-04-01,STRIKE,airstrike,supply_disruption,True,False,merged_duplicate,[tofigh-daru] Same incident: pharmaceutical factory strike killing 10 nurses (timeline + strike-file rows),HIGH,Iran,Tehran,strikes-iran.json,Tehran: Tofigh Daru pharmaceutical factory — alleged fentanyl precursor/chemical weapons facility
EVT-1769,33,2026-04-01,STRIKE,airstrike,wash_disruption,True,True,merged_canonical,"[qeshm-desal] Same facility struck on consecutive days (two strike-file records); counted once, conservatively",MEDIUM,Iran,Qeshm Island,strikes-iran.json,Qeshm Island: Qeshm Island desalination plant
EVT-2221,33,2026-04-01,RETALIATION,rocket_attack,system_report,False,False,rule,,HIGH,Lebanon,"Beirut (Jnah neighborhood), Lebanon",strikes-retaliation.json,"Beirut (Jnah neighborhood), Lebanon: Israeli airstrike (without warning) — 7 killed, 26 wounded (final count per Lebanese Health Ministry). Hezbollah Southern Front cmdr Hajj Yusuf Ismail Hashem killed in separate Beirut naval strike."
EVT-0335,34,2026-04-02,MILITARY,military,wash_disruption,False,False,excluded,"Narrative summary duplicating Day 33-34 strike-file rows (Qeshm plant, medical research center, pharmaceutical facilities)",HIGH,,,timeline-events.json,"IDF reports 170 targets struck in prior 24 hours: IDF reported hitting 170 targets in prior 24 hours including weapons research and production sites. Century-old medical research center in Tehran struck. Bridge near Tehran, steel plants, pharmaceutical facilities, Bandar Abbas passenger pier, Qeshm Island desalination plant also hit. CNN geolocated large explosions near Baharestan ~13 miles south of Isfahan."
EVT-1770,34,2026-04-02,STRIKE,airstrike,facility_attack,True,True,rule,,MEDIUM,Iran,Tehran,strikes-iran.json,Tehran: Century-old medical research center
EVT-1773,34,2026-04-02,STRIKE,airstrike,supply_disruption,True,True,rule,,HIGH,Iran,Tehran (bridge near capital),strikes-iran.json,Tehran (bridge near capital): Pharmaceutical facilities
EVT-1775,34,2026-04-02,STRIKE,airstrike,wash_disruption,True,False,merged_duplicate,"[qeshm-desal] Same facility struck on consecutive days (two strike-file records); counted once, conservatively",MEDIUM,Iran,Qeshm Island,strikes-iran.json,Qeshm Island: Desalination plant on Qeshm Island
EVT-0360,36,2026-04-04,RETALIATION,retaliation,system_report,False,False,rule,,HIGH,,,timeline-events.json,"IDF reframes Lebanon war goals — disarming Hezbollah 'unrealistic' without full occupation: On April 3, the IDF reframed its war goals in Lebanon, acknowledging that militarily disarming Hezbollah is 'unrealistic' without occupying all of Lebanon. Lebanon death toll: 1,345+ killed, 3,935 injured, ~1 million displaced (20% of population). 200,000+ have crossed into Syria. The Lebanese government took the unprecedented step of proscribing Hezbollah's military activities. 132,000+ in 620+ collective shelters at 94% capacity. 49 primary healthcare centers and 5 hospitals shut."
EVT-2282,37,2026-04-05,RETALIATION,missile_attack,wash_disruption,True,True,rule,,HIGH,Kuwait,"Multiple Gulf States (Kuwait, Qatar, UAE, Saudi Arabia, Bahrain)",strikes-retaliation.json,"Multiple Gulf States (Kuwait, Qatar, UAE, Saudi Arabia, Bahrain): Cruise missiles and drones — Fires at Borouge petrochemicals UAE (interceptor debris); GPIC and BAPCO facilities in Bahrain hit; Kuwait power/water desalination targeted; Shahed-136 reportedly struck Camp Buehring destroying US Army Chinook"
EVT-0382,39,2026-04-07,STRIKE,military,system_report,False,False,rule,,HIGH,,,timeline-events.json,"18 civilians including 2 children killed in US-Israeli attack on Alborz Province: At least 18 civilians including 2 children killed in US-Israeli attack on Iran's Alborz Province overnight April 6-7. Tehran residential areas also struck with Red Crescent rescue workers responding to collapsed buildings. Six children (4 girls, 2 boys under age 10) killed in overnight strikes on Tehran residential area."
EVT-0390,39,2026-04-07,HUMANITARIAN,humanitarian,system_report,False,False,rule,,HIGH,,,timeline-events.json,"Iran calls for human shields at power plants — WHO reports 307 health facilities damaged: Iran's Deputy Sports Minister Alireza Rahimi called on young people, artists, athletes, and students to form 'human chains' around power plants at 2:00 PM local time Tuesday. A Revolutionary Guard general urged parents to send children to man checkpoints. WHO has verified 20+ attacks on healthcare in Iran resulting in at least 9 deaths. Iranian Red Crescent reports 307 health/medical/emergency facilities damaged. UNHCR: up to 3.2 million Iranians temporarily displaced. Iran's internet connectivity at 4% of normal. HRANA: 3,540-3,546 killed (nearly double Health Ministry's 2,076)."
EVT-0418,42,2026-04-10,MILITARY,military,system_report,False,False,reclassified,Strike-tempo report; health terms appear in an appended situation note,HIGH,,,timeline-events.json,"Israel conducts 50+ strikes in Lebanon in 24 hours — reduced Beirut targeting under US pressure: By April 10, Israel had conducted 50+ additional strikes in Lebanon in 24 hours. Al Jazeera's correspondent noted a marked reduction in Beirut-area targeting, attributed to direct US pressure. Trump told NBC he asked Netanyahu to be 'a little more low-key' in Lebanon to protect the Iran negotiations. IDF has 5 divisions operating in southern Lebanon and has systematically destroyed all main bridges over the Litani River. WHO warned Lebanese hospitals may exhaust vital medical supplies within days. UNICEF reports 600 children killed or injured since the start of Lebanon operations."
EVT-0437,44,2026-04-12,RETALIATION,retaliation,system_report,False,False,rule,,HIGH,,,timeline-events.json,"Trump announces US naval BLOCKADE of Strait of Hormuz: Following the talks' collapse, Trump posted on Truth Social: 'Effective immediately, the United States Navy, the Finest in the World, will begin the process of BLOCKADING any and all Ships trying to enter, or leave, the Strait of Hormuz.' He ordered the Navy to 'seek and interdict every vessel in International Waters that has paid a toll to Iran,' to destroy Iranian mines, and threatened: 'Any Iranian who fires at us, or at peaceful vessels, will be BLOWN TO HELL!' He warned: 'At an appropriate moment, we are fully LOCKED AND LOADED, and our Military will finish up the little that is left of Iran!' Axios reports Trump had been discussing the blockade option for days as a contingency. This represents a strategic flip — taking Iran's leverage card by denying all Strait access under US naval control. Key complication: Iran reportedly lost track of mines it planted. Another: Chinese, Indian, and Pakistani ships have been among the few transiting under deals with Tehran."
EVT-0452,45,2026-04-13,RETALIATION,retaliation,workforce_harm,True,True,rule,,HIGH,,,timeline-events.json,"IDF captures Bint Jbeil — 100+ Hezbollah killed — Red Cross paramedic killed by drone: The IDF reports it is close to capturing Bint Jbeil, Hezbollah's historic stronghold, with 100+ Hezbollah operatives killed in the battle. Sirens sounded across the Galilee for Hezbollah drone attacks including near Acre — IDF shot down several drones. A Lebanese Red Cross paramedic was killed by an Israeli drone that 'directly targeted' the team (NBC News). April 12 saw Hezbollah launch ~20 rockets at northern Israel plus drone attacks on Kfar Yuval, Yir'on, and Kiryat Shmona (1:20 AM barrage); the IDF raided Bint Jbeil Governmental Hospital, killing ~20 Hezbollah operatives. Netanyahu visited southern Lebanon with Defense Minister Katz and IDF Chief Zamir, declaring 'the war continues.' Katz announced Operation 'Silver Plough' to demolish homes along the border. Israeli forces rammed UNIFIL vehicles with a Merkava tank on two occasions. Lebanon cumulative (Lebanon Public Health Emergency Operation Center via CGTN): 2,055 killed, 6,588 wounded — up from 2,020/6,436 on Day 44."
EVT-0455,45,2026-04-13,HUMANITARIAN,humanitarian,system_report,False,False,rule,,HIGH,,,timeline-events.json,"Iran casualty figures show nearly 4x spread across sources: Iranian civilian and military casualty figures remain deeply contested. Iran Health Ministry (official): ~2,000+ killed — widely seen as understated. HRANA (U.S.-based NGO) Apr 7: 3,636 total (1,701 civilians, 1,221 military) — named verification. Hengaw (Norway-based) Apr 8: 7,650 total (1,030 civilians, 6,620 military) — field reporting, more than double HRANA driven almost entirely by military casualty estimates. IDF claims 6,000+ IRGC killed. Iran's internet blackout severely limits independent verification. HRANA acknowledges military casualties are 'significantly higher' than its confirmed count. The gap between these figures is a nearly 4x spread. OCHA reports 115,193 civilian units damaged, 763 schools, 334 health/emergency centers as of April 3. The Pasteur Institute was severely damaged. WHO verified 23 attacks on healthcare in Iran. Iran executed at least 14 protesters between Mar 17 and Apr 6 including teen wrestler Saleh Mohammadi and 18-year-old Amir Hossein Hatami (Hengaw)."
EVT-0457,45,2026-04-13,HUMANITARIAN,humanitarian,access_disruption,True,True,reclassified,"WHO emergency logistics hub suspended - humanitarian access insult, not a facility attack",HIGH,,,timeline-events.json,"Humanitarian access collapsing — WHO Dubai hub ON HOLD: Humanitarian access is collapsing. WHO's Dubai logistics hub — the global health emergency hub — is on hold due to regional insecurity, delaying 50+ emergency supply requests from 25 countries. The Strait of Hormuz closure disrupted 80%+ of GCC food imports. UNHCR has issued an $80 million appeal for 2.8 million affected people in Iran. Iran has 3.2 million+ internally displaced (compounded by severe flooding in 24 provinces). Lebanon's 1.2 million+ displaced represents 14% of the population; 200,000+ have fled into Syria. 55,500 Afghan refugees returned to Afghanistan from Iran. Lebanon infrastructure crisis: Nine bridges over the Litani River have been destroyed, severing southern Lebanon from the north. The sole remaining lifeline — Qasmieh Bridge — serves 71,000+ people in the Tyre area. Fifty primary health care centers and 5 hospitals closed. WHO documented 77 attacks on healthcare in Lebanon with 53 health worker deaths. Food prices spiking: vegetables up 20%+, bread up 17% in one month."
EVT-0464,46,2026-04-14,RETALIATION,retaliation,facility_attack,True,True,rule,,HIGH,,,timeline-events.json,"Battle of Bint Jbeil Day 5-6 — IDF 98th Division within 300-400m of stadium: The Battle of Bint Jbeil continued for a fifth-sixth day. The IDF 98th Division approached within 300-400m of the Bint Jbeil stadium — the site of Hassan Nasrallah's famous 2000 'spider's web' speech. An estimated 100+ Hezbollah fighters have been killed in the battle, with dozens remaining active. The IDF raided a hospital where armed Hezbollah operatives were sheltering. Apr 13: 2 IDF soldiers moderately wounded and 6 lightly wounded by a Hezbollah drone attack in southern Lebanon. A woman was injured in Nahariya, northern Israel, by a Hezbollah rocket. An ICRC center was struck in Tyre, killing one person. Hezbollah Secretary-General Naim Qassem rejected the April 15 Israel-Lebanon talks as 'pointless' and 'a free concession.' Lebanon cumulative toll: 2,089+ killed (+34 from Apr 13), 6,762+ wounded (+174 from Apr 13). IDF forced evacuation orders now cover ~14% of Lebanon's territory (1,470 sq km)."
EVT-0468,46,2026-04-14,RETALIATION,retaliation,wash_disruption,False,False,excluded,Deliberation/threat reporting; no health-system event occurred,HIGH,,,timeline-events.json,"WSJ: Trump considering limited military strikes on Iran as leverage: The Wall Street Journal reported that Trump and his advisers are considering resuming limited military strikes on Iran as leverage for talks. This has NOT been implemented. The blockade itself is viewed by Iran and multiple analysts as a potential ceasefire violation, with the IRGC explicitly stating that any military vessel approaching the Strait of Hormuz constitutes a breach. Trump's April 13 Fox News interview threatened destruction of Iran's 'water, desalination plans, electric-generating plants.' However, the ceasefire on the Iran front has now held for approximately 168 hours with zero confirmed new US or Israeli strikes on Iranian territory. The April 11 Lavan Oil Refinery strike remains the most recent alleged violation, with attribution unclear."
EVT-0474,47,2026-04-15,RETALIATION,retaliation,system_report,False,False,rule,,HIGH,,,timeline-events.json,"Hezbollah launches ~30 rockets at northern Israel — Bint Jbeil nears conclusion: Hezbollah launched approximately 30 rockets at northern Israel on Apr 15 morning (IDF confirmed). Hezbollah claimed 24 separate attacks Apr 14 on northern Israel and IDF positions in southern Lebanon. Hezbollah also shot down an Israeli Hermes 450 drone and fired SAMs at Israeli warplanes. Hezbollah rejected the Apr 14 Washington Israel-Lebanon talks — Secretary-General Naim Qassem called them 'futile' and a 'free concession.' Battle of Bint Jbeil status Apr 14-15: IDF claims near-complete capture with only 'several dozen' Hezbollah fighters remaining; 100+ Hezbollah killed in close-quarters combat and airstrikes since Apr 9 launch; no rockets have been launched from within Bint Jbeil since the offensive began. Apr 14 engagements: 10 IDF paratroopers wounded (3 severely) in clash with Hezbollah cell; 3 Hezbollah fighters killed; 1 IDF soldier killed, 13 total wounded in separate incidents across Lebanon; 3 Radwan Force fighters captured and turned over to Unit 504 interrogation; an armored battalion commander was seriously wounded; IDF Northern Command Chief Maj. Gen. Milo visited for assessment. Apr 15: IDF's 8th Brigade (91st Division) uncovered anti-tank missile launcher aimed at northern Israel, plus weapons caches with anti-tank missiles, explosives, and ammunition; IDF struck a Hezbollah command center. Five IDF divisions operating in southern Lebanon: 36th, 91st, 98th, 146th, 162nd. 'Operation Silver Plough' (announced Apr 13 by DM Katz) is demolishing all border village structures claimed as 'terror outposts.' Haaretz: IDF operating 'using methods similar to those used in Gaza Strip.' Since March 2, Hezbollah has killed at least 12 IDF soldiers and 2 civilians. IDF Home Front Command warned Apr 14 evening that Hezbollah may temporarily increase attacks to influence the Washington negotiations. Lebanon cumulative: 2,089-2,124 killed (EOC/Health Ministry); +43 Lebanese killed in past 24 hrs per manifest."
EVT-0482,48,2026-04-16,RETALIATION,retaliation,system_report,False,False,rule,,HIGH,,,timeline-events.json,"IDF Nabatieh strike kills 19 incl. 13 Lebanese State Security — Hezbollah hits Ashdod + Nahariya church: An IDF strike on Nabatieh Apr 16 killed 19 people, including 13 Lebanese State Security personnel. Hezbollah struck Ashdod (claimed targeting of Ashdod Naval Base) and damaged a 1,500-year-old church in Nahariya with a missile. Cumulative Hezbollah rocket/UAV activity since Mar 2: 1,121 attack waves (Alma Center). Battle of Bint Jbeil consolidated by IDF 98th Division — 100+ Hezbollah killed cumulatively since Apr 9, 3 surrendered Apr 15. Trump floated an unconfirmed 10-day Israel-Lebanon ceasefire Apr 16 (NBC) — not confirmed by either party. Rubio-Aoun phone call Apr 16 on Lebanon ceasefire. Hezbollah MP Hussein Hajj Hassan condemned the Apr 14 Israel-Lebanon talks as 'a grave sin.' Lebanon MoPH (via WAFA/Al Jazeera) end-Apr 15: 2,167 killed / 7,061 wounded. No kinetic Iranian action Apr 15-16. No Houthi Red Sea shipping attacks in the 48-hour window; Iraqi PMF quiet."
EVT-0498,50,2026-04-18,HUMANITARIAN,humanitarian,system_report,False,False,reclassified,UNIFIL peacekeeper fatality; health terms come from an appended MoPH toll citation,HIGH,,,timeline-events.json,"LEBANON TRUCE BREACHED — French UNIFIL CWO killed, 3 wounded; Macron blames Hezbollah: The 10-day Lebanon ceasefire that took effect Thursday midnight Beirut time suffered its first significant breach on April 18. A French chief warrant officer serving with UNIFIL was killed and three French peacekeepers wounded in southern Lebanon — the first allied fatality on the Lebanon front. President Macron posted that 'everything suggests that responsibility for this attack lies with Hezbollah.' Separately, one Lebanese was killed in an Israeli strike on a motorcycle in the south, and earlier MoPH reporting documented one death in Kounine overnight April 17. Netanyahu declared the anti-Hezbollah campaign 'not over' but Trump publicly told Israel it is 'prohibited' from striking Lebanon — 'enough is enough.' Lebanese President Aoun declared Lebanon will no longer be 'an arena for others' wars.' Lebanon MoPH cumulative Apr 17: 2,294 killed, 7,544 wounded, ≥172 children, 100+ paramedics/health workers dead."
EVT-2296,50,2026-04-18,RETALIATION,missile_attack,system_report,False,False,rule,,HIGH,Lebanon,Southern Lebanon (UNIFIL AO),strikes-retaliation.json,Southern Lebanon (UNIFIL AO): Attack on UNIFIL patrol (attribution alleged Hezbollah) — 1 French chief warrant officer (CWO) serving with UNIFIL killed; 3 French peacekeepers wounded. Separately: 1 Lebanese killed in Israeli strike on a motorcycle in the south. Earlier MoPH reporting documented one death in Kounine overnight Apr 17.
EVT-0506,51,2026-04-19,HUMANITARIAN,humanitarian,workforce_harm,True,True,merged_canonical,[lebanon-sunday-apr19] Same incident: Apr 19 Lebanon Sunday toll incl. Red Cross paramedic (Day-51 timeline + Day-52 strike-file rows),HIGH,,,timeline-events.json,"Lebanon Sunday: ≥35 killed including Red Cross paramedic during 10-day truce: At least 35 people were killed in Lebanon on Sunday, Apr 19, including a Lebanese Red Cross paramedic, according to Lebanese authorities — despite the 10-day Israel-Lebanon ceasefire that took effect ~5:00 PM ET Apr 16. IDF reportedly struck 200+ Hezbollah targets over the weekend Apr 18-19 (UNVERIFIED count). The Battle of Bint Jbeil continues, with IDF's 98th Division claiming 100+ Hezbollah killed cumulatively since the operation began Apr 9, though the town remains contested. Cumulative Lebanese deaths since March 2 now stand at 2,020-2,196+ (Lebanese MoPH mid-April); 177 children killed; 1.2 million displaced. Separately on Apr 18, French UNIFIL Sgt 1st Class Florian Montorio was killed in an ambush, with Macron blaming Hezbollah (Hezbollah denied). Haaretz reported Apr 18 that Netanyahu privately admitted he has 'not succeeded' against Hezbollah."
EVT-2297,52,2026-04-20,RETALIATION,missile_attack,workforce_harm,True,False,merged_duplicate,[lebanon-sunday-apr19] Same incident: Apr 19 Lebanon Sunday toll incl. Red Cross paramedic (Day-51 timeline + Day-52 strike-file rows),HIGH,Lebanon,Southern Lebanon / Bekaa Valley / southern Beirut,strikes-retaliation.json,"Southern Lebanon / Bekaa Valley / southern Beirut: IDF airstrikes (vs Hezbollah targets); Hezbollah rocket/UAV fire — ≥35 killed in Lebanon on Sunday Apr 19 — including a Red Cross paramedic — during the 10-day Lebanon truce. Haaretz Apr 18: Netanyahu privately admitted he has 'not succeeded' against Hezbollah. IDF reportedly struck 200+ Hezbollah targets over weekend Apr 18-19 (UNVERIFIED count). Cumulative Lebanon destruction: 40,000+ homes destroyed; 1,400+ buildings in south. Lebanon MoPH mid-April: 2,020-2,196 killed, 6,500-7,185 wounded; 177 children killed; 1.2 million displaced."
EVT-0521,53,2026-04-21,HUMANITARIAN,humanitarian,system_report,False,False,rule,,HIGH,,,timeline-events.json,"Iran Legal Medicine Organization: at least 3,375 killed in Iran — 383 children ≤18 — most authoritative official figure: Iran's Legal Medicine Organization (via Mizan; forensic chief Abbas Masjedi), publishing updated April 20 figures, reported at least 3,375 killed in Iran — 2,875 male, 496 female, 383 children ≤18, 4 unidentified. This is now the most authoritative official Iranian count. HRANA (Apr 7) had 3,636 (1,701 civilians, 1,221 military, 714 unclassified). Iran International separately cited 4,700+ security force members. IDF claims 6,000+ IRGC killed. Lebanon MoPH Apr 20 revised its own cumulative toll upward to 2,387 killed and 7,602 wounded since March 2 — an ~8-10% increase over the prior 2,167-2,196 baseline (Wikipedia / Al Jazeera). Children killed in Lebanon: ≥177."
